11-beta-hydroxysteroid dehydrogenase deficiency type 2	http://purl.obolibrary.org/obo/DOID_0090121
11p partial monosomy syndrome	http://purl.obolibrary.org/obo/DOID_14515
14q11.2 microdeletion syndrome	http://purl.obolibrary.org/obo/DOID_0060392
15q11.2 microdeletion syndrome	http://purl.obolibrary.org/obo/DOID_0060393
15q13.3 microdeletion syndrome	http://purl.obolibrary.org/obo/DOID_0060394
15q24 microdeletion syndrome	http://purl.obolibrary.org/obo/DOID_0060395
15q26 deletion syndrome	http://purl.obolibrary.org/obo/DOID_0060397
16p11.2-p12.2 microdeletion syndrome	http://purl.obolibrary.org/obo/DOID_0060400
16p11.2p12.2 microdeletion syndrome	http://purl.obolibrary.org/obo/DOID_0060400
16p13.3 microduplication syndrome	http://purl.obolibrary.org/obo/DOID_0060431
17p11.2 microdeletion syndrome	http://purl.obolibrary.org/obo/DOID_0060768
17p11.2 microduplication syndrome	http://purl.obolibrary.org/obo/DOID_0060853
17p13.3 duplication syndrome	http://purl.obolibrary.org/obo/DOID_0060432
17p13.3 microduplication syndrome	http://purl.obolibrary.org/obo/DOID_0060432
17q11 microdeletion syndrome	http://purl.obolibrary.org/obo/DOID_0060403
17q12 microdeletion syndrome	http://purl.obolibrary.org/obo/DOID_0060404
17q12 microduplication syndrome	http://purl.obolibrary.org/obo/DOID_0060433
17q21.31 microdeletion syndrome	http://purl.obolibrary.org/obo/DOID_0050880
17q21.31 microduplication syndrome	http://purl.obolibrary.org/obo/DOID_0060434
17q23.1-q23.2 microdeletion syndrome	http://purl.obolibrary.org/obo/DOID_0060405
17q23.1q23.2 microdeletion syndrome	http://purl.obolibrary.org/obo/DOID_0060405
18p- syndrome	http://purl.obolibrary.org/obo/DOID_0060406
18q- syndrome	http://purl.obolibrary.org/obo/DOID_0060407
19q13.11 microdeletion syndrome	http://purl.obolibrary.org/obo/DOID_0060408
1p31p32 microdeletion syndrome	http://purl.obolibrary.org/obo/DOID_0060409
1p36 deletion syndrome	http://purl.obolibrary.org/obo/DOID_0060410
1q21.1 microdeletion syndrome	http://purl.obolibrary.org/obo/DOID_0060411
1q21.1 microduplication syndrome	http://purl.obolibrary.org/obo/DOID_0060435
1q41-q42 microdeletion syndrome	http://purl.obolibrary.org/obo/DOID_0060412
1q41q42 microdeletion syndrome	http://purl.obolibrary.org/obo/DOID_0060412
20th century disease	http://purl.obolibrary.org/obo/DOID_4661
22q11.2 microduplication syndrome	http://purl.obolibrary.org/obo/DOID_0060436
22q11 deletion syndrome	http://purl.obolibrary.org/obo/DOID_12583
2,8-dihydroxyadenine urolithiasis	http://purl.obolibrary.org/obo/DOID_0060350
2-hydroxyglutaric aciduria	http://purl.obolibrary.org/obo/DOID_0050573
2-methyl-3-hydroxybutyricacidemia	http://purl.obolibrary.org/obo/DOID_14723
2p15p16.1 microdeletion syndrome	http://purl.obolibrary.org/obo/DOID_0060415
2q32-q33 microdeletion syndrome	http://purl.obolibrary.org/obo/DOID_0060428
2q32q33 microdeletion syndrome	http://purl.obolibrary.org/obo/DOID_0060428
3-beta-hydroxy-delta-5-c27-steroid oxidoreductase deficiency	http://purl.obolibrary.org/obo/DOID_0050674
